"COLUMN1"	"COLUMN2"	"COLUMN3"
"1775078"	"1.6.2.2"	"679251;8013;280514;280514;88769;606;107216;14032;280514;312583;280514;280514;88769;107216;681;5582;424777;8013;280514;280514;88769;606;107216;14032;280514;312583;280514;280514;88769;107216;681;5582;424777;8013"
"870756"	"1.12.2.1"	"517917;348197;3824;36;3697;34469;11891;5619;3697;30491;135743;36;356;1176;29620;207242;7931;50048;36;3697;30825;451;32626;36;348197;1625;16004;3824;36;3697;34469;11891;5619;3697;30491;135743;36;356;1176;29620;207242;7931;50048;36;3697;30825;451;32626;36;348197;1625;16004"
"2335869"	"8.1.4.2"	"412042;974;85658;174033;974;9525;72246;39928;8895;30066;2245;1670;85658;174033;6977;6183;974;85658;174033;974;9525;72246;39928;8895;30066;2245;1670;85658;174033;6977;6183;974"
"1774844"	"1.8.3.6"	"31449;517124;45008;2796;79868;45008;202761;2796;101376;144894;31449;327552;133996;17409;2796;4986;2887;31449;6183;2796;79868;45008;13157;16541;2796;17027;2796;2896;4109;501517;2487;2184;9089;17979;9268;2796;79868;45008;202761;2796;101376;144894;31449;327552;133996;17409;2796;4986;2887;31449;6183;2796;79868;45008;13157;16541;2796;17027;2796;2896;4109;501517;2487;2184;9089;17979;9268"
"1775000"	"1.4.2.4"	"259580;626835;12152;6183;561;10666;12152;6183;561;60774;21206;561;160212;539;2225;320443;12152;6183;561;10666;12152;6183;561;60774;21206;561;160212;539;2225;320443"
"1775024"	"1.4.1.4"	"498354;61029;60774;12318;3825;465;5788;6183;561;61029;539;71940;335;27;60774;12318;3825;465;5788;6183;561;61029;539;71940;335;27"
"1774455"	"1.4.1.2"	"155009;345081;12203;6183;561;9642;12203;561;3203;40075;539;345081;26124;10638;490970;12203;6183;561;9642;12203;561;3203;40075;539;345081;26124;10638;490970"
"1775040"	"1.4.2.2"	"100947;97714;12203;6183;3203;45782;12203;3203;46868;13;97714;12203;6183;3203;45782;12203;3203;46868;13;97714"
"1774505"	"1.4.9.2"	"254337;195099;974;12203;6183;974;11354;12203;974;37888;17713;62372;454;974;12203;6183;974;11354;12203;974;37888;17713;62372;454;974"
"1774776"	"8.1.4.2"	"239661;974;46479;17713;974;14461;46479;17713;974;31325;610;46441;143118;208450;5647;35944;70488;307170;175621;326588;46479;17713;974;14461;46479;17713;974;31325;610;46441;143118;208450;5647;35944;70488;307170;175621;326588"
"495072"	"8.1.4.2"	"296259;596521;4861;4385;31325;31693;12152;974;35133;205881;474444;1100;115394;76462;636390;112571;75629;4861;35639;4385;31325;136353;87610;93388;159442;146683;300971;4861;4385;31325;31693;12152;974;35133;205881;474444;1100;115394;76462;636390;112571;75629;4861;35639;4385;31325;136353;87610;93388;159442;146683;300971"
"2076876"	"1.4.9.2"	"239661;974;428257;6183;68271;974;6254;46479;17713;36169;6183;68271;974;50048;68271;125744;41791;30825;31325;46479;17713;60765;490251;3824;22793;102745;288673;6183;68271;974;6254;46479;17713;36169;6183;68271;974;50048;68271;125744;41791;30825;31325;46479;17713;60765;490251;3824;22793;102745;288673"
"163267"	"8.1.4.2"	"239661;588100;571076;12203;6183;974;46479;17713;974;31325;610;37717;861;335;179225;506331;71842;196721;175621;326588;288879;12203;6183;974;46479;17713;974;31325;610;37717;861;335;179225;506331;71842;196721;175621;326588;288879"
"218438"	"1.4.9.2"	"974;97714;239661;46479;17713;127242;31325;3463;46479;17713;6183;974;31325;610;46441;80301;155941;143118;208450;5647;35944;20176;31325;97714;8844;15783;4920;18512;610;106798;4507;90370;125244;64372;46479;17713;127242;31325;3463;46479;17713;6183;974;31325;610;46441;80301;155941;143118;208450;5647;35944;20176;31325;97714;8844;15783;4920;18512;610;106798;4507;90370;125244;64372"
"1775005"	"1.4.1.1"	"228377;573290;12203;6183;561;15429;12203;6183;561;3824;3488;22542;539;636390;26381;12203;6183;561;15429;12203;6183;561;3824;3488;22542;539;636390;26381"
"1932882"	"1.4.1.2"	"209854;555490;12203;7931;2222;3924;12203;561;12397;39008;19685;12203;7931;2222;3924;12203;561;12397;39008;19685"
"303060"	"1.4.2.2"	"606496;81309;12203;7931;3203;20155;12203;3203;46868;4056;451;316079;26427;32169;300971;12203;7931;3203;20155;12203;3203;46868;4056;451;316079;26427;32169;300971"
"1774456"	"1.4.2.1"	"3203;19818;12203;6183;3203;89132;12203;6183;3203;171160;312194;102438;241605;102964;15034;304007;1687;321329;74494;181;474194;26124;451;513133;133219;12203;6183;3203;89132;12203;6183;3203;171160;312194;102438;241605;102964;15034;304007;1687;321329;74494;181;474194;26124;451;513133;133219"
"709795"	"1.9.2.5"	"541405;677101;12203;937;1040;6062;12203;937;1040;3824;906;71842;12203;937;1040;6062;12203;937;1040;3824;906;71842"
"1775038"	"1.4.1.2"	"155009;7931;12203;561;435264;12203;561;3824;47619;96237;561;15881;451;136627;207790;410906;87807;453027;294448;136627;7931;12203;561;435264;12203;561;3824;47619;96237;561;15881;451;136627;207790;410906;87807;453027;294448;136627"
"1774457"	"1.4.1.2"	"712604;209854;12203;6183;561;875;12318;6287;875;135989;25426;15953;12203;561;63015;112661;10924;577829;12203;6183;561;875;12318;6287;875;135989;25426;15953;12203;561;63015;112661;10924;577829"
"504783"	"1.4.1.1"	"589692;12203;12318;77277;8345;3824;3047;3303;561;15881;451;466225;492335;2900;461140;12203;12318;77277;8345;3824;3047;3303;561;15881;451;466225;492335;2900;461140"
"1775014"	"1.4.1.1"	"7883;228377;683946;12203;6183;561;7883;12203;561;53533;3824;12203;12318;484252;28650;12203;6183;561;7883;12203;561;53533;3824;12203;12318;484252;28650"
"1774458"	"1.4.1.2"	"521820;12203;6183;8498;18319;12203;8498;124537;61926;9108;67305;577829;12203;6183;8498;18319;12203;8498;124537;61926;9108;67305;577829"
"1775003"	"1.4.1.3"	"18519;140874;559735;12203;67603;28531;12397;130041;124642;12203;561;12397;174358;411272;1100;8545;111109;12203;39653;18512;335;537561;4773;57836;12203;22542;12397;722;12203;67603;28531;12397;130041;124642;12203;561;12397;174358;411272;1100;8545;111109;12203;39653;18512;335;537561;4773;57836;12203;22542;12397;722"
"1775041"	"1.4.2.2"	"142344;7655;6344;12203;7931;3203;63579;12203;3203;46868;7655;577829;12203;7931;3203;63579;12203;3203;46868;7655;577829"
"529228"	"1.4.3.5"	"279076;12152;335;20970;81134;12152;6183;335;4161;295608;41227;3848;4168;561;2720;16534;12152;335;20970;81134;12152;6183;335;4161;295608;41227;3848;4168;561;2720;16534"
"1774684"	"1.5.2.4"	"21238;15471;6183;15471;4828;18059;441755;16541;75569;9517;46925;30668;10697;41871;16541;3699;2184;30825;61094;9207;242291;2628;478882;405166;328131;23970;6183;15471;4828;18059;441755;16541;75569;9517;46925;30668;10697;41871;16541;3699;2184;30825;61094;9207;242291;2628;478882;405166;328131;23970"
"1774800"	"1.5.2.4"	"59820;15471;390890;726;7931;15471;59820;726;7931;15471;2089;5225;52784;30614;5225;8453;726;7931;15471;59820;726;7931;15471;2089;5225;52784;30614;5225;8453"
"1775060"	"1.6.2.1"	"345627;539259;693679;12152;19;26155;182377;12152;112152;3825;12152;200540;8013;10638;34596;12093;162150;132582;12152;19;26155;182377;12152;112152;3825;12152;200540;8013;10638;34596;12093;162150;132582"
"1775076"	"1.6.2.1"	"18379;580219;356650;12152;6183;8013;18379;12152;6183;8013;19;451;43053;356650;277379;12203;472;102663;81780;311189;52076;470723;287241;1757;12152;6183;8013;18379;12152;6183;8013;19;451;43053;356650;277379;12203;472;102663;81780;311189;52076;470723;287241;1757"
"2012081"	"1.6.2.1"	"3824;6359"
"2263991"	"1.6.2.1"	"7931;5300;5273"
"862829"	"1.6.2.1"	"3824;5273;5300;3824;6183"
"1774408"	"1.6.2.2"	"647460;6183;730;606;442;730;606;10480;4388;5645;2513;318404;415;39829;13954;39928;146909;28531;606;292025;159524;4021;196508;1226;6183;730;606;442;730;606;10480;4388;5645;2513;318404;415;39829;13954;39928;146909;28531;606;292025;159524;4021;196508;1226"
"1774418"	"1.6.2.2"	"17422;67121;357020;562;58628;59905;436704;47575;79699;50241;1014;14583;9207;97547;1353;45877;252245;40070;3593;2628;3593;1353;10327;562;58628;59905;436704;47575;79699;50241;1014;14583;9207;97547;1353;45877;252245;40070;3593;2628;3593;1353;10327"
"1774414"	"1.6.2.2"	"357020;47347;580432;562;108350;519;606;302;24038;302;24038;144070;41865;93465;326233;111035;94619;64460;487;155460;38276;3824;6275;108350;519;606;562;108350;519;606;302;24038;302;24038;144070;41865;93465;326233;111035;94619;64460;487;155460;38276;3824;6275;108350;519;606"
"1374348"	"1.6.2.2"	"547716;8013;20765;562;7931;519;606;107216;3824;8013;18094;562;19;792;892;32327;2487;562;7931;519;606;107216;3824;8013;18094;562;19;792;892;32327;2487"
"1379970"	"1.6.2.2"	"515856;567680;567677;19;946;1702;17750;33904;19;32169;946;1702;730;17686;35158;400956;9207;44240;5788;9207;285;6176;44240;43945;440919;88769;46437;75818;100306;246423;19;451;57667;206280;17750;33904;730;17686;15881;451;17750;33904;60765;7064;19;946;1702;17750;33904;19;32169;946;1702;730;17686;35158;400956;9207;44240;5788;9207;285;6176;44240;43945;440919;88769;46437;75818;100306;246423;19;451;57667;206280;17750;33904;730;17686;15881;451;17750;33904;60765;7064"
"2158259"	"1.6.2.2"	"8013;357020;562;58628;59905;402338;41492;8013;15881;451;4171;7493;7493;562;58628;59905;562;58628;59905;402338;41492;8013;15881;451;4171;7493;7493;562;58628;59905"
"2198851"	"1.6.2.4"	"74826;641429;974;47411;26306;3243;80789;15309;57043;29781;849;974;1182;924;91213;2222;68784;1633;29781;47411;26306;3243;80789;15309;57043;29781;849;974;1182;924;91213;2222;68784;1633;29781"
"1774396"	"1.6.2.4"	"584806;580802;74826;17409;6183;22638;2956;243123;50749;35865;6176;481564;430732;21039;12986;44964;49261;253521;285;17686;243123;17409;6183;22638;2956;243123;50749;35865;6176;481564;430732;21039;12986;44964;49261;253521;285;17686;243123"
"1775059"	"1.6.1.2"	"580258;41918;15351;1014;37005;221127;15351;18048;8414;11855;19059;37005;15351;1014;37005;221127;15351;18048;8414;11855;19059;37005"
"1774640"	"1.2.4.1"	"3697;11796;32425;49389;243478;78174;41872;2861;11796;198486;493944;1979;124282;3697;13796;9732;3697;11796;32425;49389;243478;78174;41872;2861;11796;198486;493944;1979;124282;3697;13796;9732"
"664176"	"1.2.2.1"	"578808;35936;3697;7122;10671;35936;3697;7122;57667;64163;35936;3697;7122;10671;35936;3697;7122;57667;64163"
"1774860"	"1.2.4.1"	"2003;640;11796;12178;1979;892;49389;50707;93465;6183;113829;37030;221404;12397;156434;297406;109312;9528;21039;57043;2052;45535;60765;173808;229830;113100;1979;2003;640;11796;12178;1979;892;49389;50707;93465;6183;113829;37030;221404;12397;156434;297406;109312;9528;21039;57043;2052;45535;60765;173808;229830;113100;1979"
"1774671"	"1.5.2.3"	"72247;26433;6183;72247;26433;91189;6183;72247;26433;15783;173558;72247;11725;22674;15783;72247;10762;2346;19172;6183;72247;26433;91189;6183;72247;26433;15783;173558;72247;11725;22674;15783;72247;10762;2346;19172"
"2156115"	"1.11.2.1"	"301619;656093;573177;289873;1348;8453;301619;17487;1348;289873;8453;450861;4385;5741;3373;5922;6176;289873;1348;8453;301619;17487;1348;289873;8453;450861;4385;5741;3373;5922;6176"
"535240"	"1.5.1.2"	"57007;32425;1753;218424;57007;32425;1753;5300;5273;57007;32425;1753;218424;57007;32425;1753;5300;5273"
