"COLUMN1"	"COLUMN2"	"COLUMN3"	"COLUMN4"	"COLUMN5"
"100116"	"1108697"	"0"	"1"	"0"
"100116"	"1139227"	"0"	"1"	"0"
"100116"	"1185040"	"0"	"6"	"0"
"100116"	"142794"	"0"	"1"	"0"
"100116"	"1525105"	"0"	"1"	"0"
"100116"	"1606515"	"0"	"1"	"0"
"100116"	"1606574"	"0"	"1"	"0"
"100116"	"163267"	"0"	"1"	"0"
"100116"	"1675399"	"0"	"6"	"0"
"100116"	"1702481"	"0"	"1"	"0"
"100116"	"1706167"	"0"	"1"	"0"
"100116"	"1743403"	"0"	"1"	"0"
"100116"	"1760320"	"0"	"1"	"0"
"100116"	"1760378"	"0"	"4"	"0"
"100116"	"1760385"	"0"	"1"	"0"
"100116"	"1760388"	"0"	"1"	"0"
"100116"	"1760398"	"0"	"1"	"0"
"100116"	"1760401"	"0"	"1"	"0"
"100116"	"1760423"	"0"	"3"	"0"
"100116"	"1760430"	"0"	"1"	"0"
"100116"	"1774457"	"0"	"2"	"0"
"100116"	"1774509"	"0"	"3"	"0"
"100116"	"1774527"	"0"	"1"	"0"
"100116"	"1774542"	"0"	"1"	"0"
"100116"	"1774548"	"0"	"2"	"0"
"100116"	"1774587"	"0"	"1"	"0"
"100116"	"1774603"	"0"	"4"	"0"
"100116"	"1774613"	"0"	"1"	"0"
"100116"	"1774617"	"0"	"1"	"0"
"100116"	"1774687"	"0"	"3"	"0"
"100116"	"1774717"	"0"	"7"	"0"
"100116"	"1774718"	"0"	"1"	"0"
"100116"	"1774753"	"0"	"2"	"0"
"100116"	"1774766"	"0"	"12"	"0"
"100116"	"1774787"	"0"	"1"	"0"
"100116"	"1774797"	"0"	"5"	"0"
"100116"	"1774828"	"0"	"1"	"0"
"100116"	"1774862"	"0"	"2"	"0"
"100116"	"1774886"	"0"	"1"	"0"
"100116"	"1774925"	"0"	"1"	"0"
"100116"	"1774963"	"0"	"7"	"0"
"100116"	"1774969"	"0"	"2"	"0"
"100116"	"1775025"	"0"	"2"	"0"
"100116"	"1775076"	"0"	"2"	"0"
"100116"	"1785759"	"0"	"1"	"0"
"100116"	"1837210"	"0"	"3"	"0"
"100116"	"1869430"	"0"	"1"	"0"
"100116"	"1872256"	"0"	"1"	"0"
"100116"	"1902321"	"0"	"1"	"0"
"100116"	"1928655"	"0"	"2"	"0"
"100116"	"1928681"	"0"	"6"	"0"
"100116"	"2026426"	"0"	"2"	"0"
"100116"	"2105405"	"0"	"3"	"0"
"100116"	"2105598"	"0"	"1"	"0"
"100116"	"2105603"	"0"	"2"	"0"
"100116"	"2188303"	"0"	"2"	"0"
"100116"	"2252678"	"0"	"1"	"0"
"100116"	"2260864"	"0"	"1"	"0"
"100116"	"2262250"	"0"	"1"	"0"
"100116"	"2287260"	"0"	"1"	"0"
"100116"	"2335872"	"0"	"1"	"0"
"100116"	"2379382"	"0"	"1"	"0"
"100116"	"2420902"	"0"	"1"	"0"
"100116"	"298640"	"0"	"1"	"0"
"100116"	"338764"	"0"	"1"	"0"
"100116"	"387492"	"0"	"1"	"0"
"100116"	"458026"	"0"	"2"	"0"
"100116"	"562574"	"0"	"1"	"0"
"100116"	"570417"	"0"	"1"	"0"
"100116"	"592273"	"0"	"1"	"0"
"100116"	"607100"	"0"	"1"	"0"
"100116"	"713159"	"0"	"8"	"0"
"100116"	"713163"	"0"	"15"	"0"
"100116"	"713234"	"0"	"1"	"0"
"100116"	"713240"	"0"	"2"	"0"
"100116"	"741909"	"0"	"4"	"0"
"100116"	"754522"	"0"	"1"	"0"
"100116"	"783544"	"0"	"1"	"0"
"1004630"	"1004630"	"1"	"3"	"0"
"1004630"	"1027490"	"0"	"1"	"0"
"1004630"	"1095970"	"0"	"1"	"0"
"1004630"	"131665"	"0"	"4"	"0"
"1004630"	"1606474"	"0"	"3"	"0"
"1004630"	"1606515"	"0"	"1"	"0"
"1004630"	"1606590"	"0"	"3"	"0"
"1004630"	"1606615"	"0"	"2"	"0"
"1004630"	"1606689"	"0"	"1"	"0"
"1004630"	"1606717"	"0"	"1"	"0"
"1004630"	"1675399"	"0"	"2"	"0"
