"COLUMN1"	"COLUMN2"
"100116"	"37:0.2335;66:0.2292;26:0.2206;34:0.2121;25:0.2078;31:0.2019;57:0.1933;55:0.1826;60:0.181;56:0.1778;68:0.1628;369:0.1569;64:0.1548;61:0.1532;94:0.1505;80:0.1489;36:0.1489;209:0.1366;72:0.1366;237:0.1307;67:0.1307;1253:0.1301;65:0.1291;93:0.1291;998:0.1253;117:0.1216;230:0.121;148:0.121;69:0.121;229:0.1157;331:0.1157;14:0.1135;203:0.1119;214:0.1119;2032:0.1071;275:0.105;75:0.1034;184:0.1034;182:0.1028"
"100737"	"7:0.643;10:0.3496;42:0.3043;32:0.2831;9:0.2601;266:0.2256;124:0.1815;21:0.1548;1279:0.1276;259:0.1101;341:0.1089;1079:0.1052;402:0.1022"
"1007387"	"83:0.5879;103:0.443;146:0.3903;2150:0.2537;481:0.1611;7024:0.1378;37:0.1092;26:0.1001"
"1004630"	"36:0.317;84:0.2878;971:0.2241;34:0.218;25:0.211;31:0.2064;26:0.188;391:0.1834;33966:0.1642;10652:0.1635;10884:0.1619;60:0.1619;68:0.1619;2:0.1589;3108:0.1497;12624:0.1481;4:0.1466;5:0.1351;51455:0.1335;1018:0.132;36076:0.1274;8:0.1274;71:0.1182;80:0.1167;355:0.1105;297:0.1074;87:0.1059;896:0.1051;165:0.1036;47:0.1028;11:0.1013"
"1015301"	"146:0.478;103:0.4446;83:0.4012;31:0.1862;34:0.1708;242:0.1699;1004:0.1604;6:0.1523;26:0.1464;52:0.1324;25:0.1306;79:0.1301;337:0.1188;3901:0.1021"
"1014391"	"112:0.4693;3263:0.4026;2:0.3557;18651:0.2791;10:0.2693;4399:0.2693;6400:0.2693;46324:0.2668;3078:0.252;2791:0.247"
"1018719"	"10:0.3108;242:0.3072;26:0.2349;25:0.2254;84:0.22;31:0.2195;337:0.2147;34:0.2011;40:0.1779;3209:0.1643;107:0.156;49:0.1518;95:0.1495;56:0.1453;80:0.1441;52:0.1406;226:0.1358;66:0.1346;57:0.1293;72:0.124;94:0.1204;55:0.1204;118:0.1204;334:0.1192;87:0.1109;37:0.1079;910:0.1038;71:0.1032;36:0.1026;65:0.1014;205:0.1008"
"1016219"	"32:0.8406;48:0.3853;137:0.1225;113:0.1086;41:0.1071;1932:0.1068"
"1026800"	"395:0.3949;4204:0.3552;742:0.3493;7663:0.3334;12426:0.3255;618:0.3155;1844:0.3116;2810:0.3096;5218:0.2937"
"1046703"	"112:1.0"
