"COLUMN1"	"COLUMN2"	"COLUMN3"	"COLUMN4"	"COLUMN5"
"100116"	"1988"	"2"	"39"	"35"
"1004630"	"1985"	"1"	"86"	"104;51;117;83;78;105;55;71;80;77"
"100737"	"1990"	"1"	"295"	"0"
"1007387"	"1993"	"1"	"147"	"51;71;62;3;16;46;24;30;17;43"
"1014391"	"2010"	"1"	"75"	"2;7"
"1015301"	"1992"	"1"	"55"	"0"
"1016219"	"2009"	"2"	"829"	"114;101;102;78;61;90;106"
"1018719"	"1989"	"1"	"29"	"0"
"1026800"	"2010"	"1"	"2"	"0"
"1027850"	"1991"	"2"	"83"	"0"
"1034438"	"1990"	"1"	"252"	"55;71;1;51;2"
"1035135"	"2011"	"1"	"138"	"166;180"
"1036669"	"1994"	"1"	"41"	"0"
"104413"	"1991"	"1"	"43"	"51;11;10;1;22;4;71;13;6;12"
"1046703"	"1985"	"1"	"72"	"0"
"1047255"	"1985"	"1"	"9"	"4;10"
"1060488"	"1991"	"1"	"176"	"172"
"1061620"	"1982"	"1"	"96"	"0"
"1063966"	"1990"	"1"	"12"	"80;55;83;96;97;78;71;105;75;77"
"1067032"	"1988"	"1"	"113"	"2394;35;70;22;40;54"
"1072491"	"1991"	"1"	"522"	"0"
"107322"	"1989"	"2"	"96"	"42;34;44;110;129;51;7;61;77;54"
"1076617"	"1988"	"1"	"371"	"0"
"1078562"	"1999"	"1"	"6"	"6"
"1081334"	"2010"	"1"	"16"	"0"
"1085059"	"1988"	"1"	"21"	"103;8;87;64;71;113;88;60;54;74"
"1085823"	"1994"	"1"	"172"	"479993;26;46;37;74;20;675"
"1086595"	"1987"	"1"	"8"	"0"
"1088428"	"1988"	"1"	"19"	"0"
"1097705"	"1984"	"1"	"8"	"51;71;5;4;2;11;48;16;26;8"
"1101545"	"1987"	"1"	"6"	"0"
"110775"	"1957"	"2"	"52"	"100;61;90;84;106;101;96;97;75;114"
"1109991"	"1990"	"1"	"94"	"3;41;11835;6;48;64;39;88;27;17"
"1112707"	"1988"	"1"	"144"	"1;3;2;52;21;11;32;10;7;19"
"1114135"	"1990"	"1"	"254"	"139109;12198;65249;4897;226439"
