"COLUMN1"	"COLUMN2"
"100116"	"1049250"
"100116"	"1260296"
"100116"	"1419930"
"100116"	"1606515"
"100116"	"1606609"
"100116"	"160910"
"100116"	"1706167"
"100116"	"172508"
"100116"	"1760320"
"100116"	"1760350"
"100116"	"1760377"
"100116"	"1760378"
"100116"	"1760402"
"100116"	"1760423"
"100116"	"1760642"
"100116"	"1774454"
"100116"	"1774457"
"100116"	"1774502"
"100116"	"1774509"
"100116"	"1774516"
"100116"	"1774520"
"100116"	"1774527"
"100116"	"1774533"
"100116"	"1774536"
"100116"	"1774539"
"100116"	"1774568"
"100116"	"1774603"
"100116"	"1774613"
"100116"	"1774617"
"100116"	"1774684"
"100116"	"1774687"
"100116"	"1774706"
"100116"	"1774713"
"100116"	"1774717"
"100116"	"1774718"
"100116"	"1774753"
"100116"	"1774776"
"100116"	"1774786"
"100116"	"1774797"
"100116"	"1774800"
"100116"	"1774822"
"100116"	"1774828"
"100116"	"1774840"
"100116"	"1774848"
"100116"	"1774849"
"100116"	"1774934"
"100116"	"1774952"
"100116"	"1774957"
"100116"	"1774963"
"100116"	"1774967"
"100116"	"1774969"
"100116"	"1774977"
"100116"	"1774999"
"100116"	"1775013"
"100116"	"1775025"
"100116"	"1775040"
"100116"	"1775076"
"100116"	"1775105"
"100116"	"1784713"
"100116"	"1870054"
"100116"	"1902321"
"100116"	"1928655"
"100116"	"1928681"
"100116"	"1954203"
"100116"	"1970450"
"100116"	"2026426"
"100116"	"2105362"
"100116"	"2105464"
"100116"	"2105465"
"100116"	"2105599"
"100116"	"218438"
"100116"	"2188303"
"100116"	"2287260"
"100116"	"2335872"
"100116"	"2335873"
"100116"	"2393452"
"100116"	"2420902"
"100116"	"338764"
"100116"	"424477"
"100116"	"444058"
"100116"	"458026"
"100116"	"504783"
"100116"	"549649"
"100116"	"555749"
"100116"	"557821"
"100116"	"563514"
"100116"	"592273"
"100116"	"594200"
"100116"	"628623"
"100116"	"640892"
"100116"	"682877"
"100116"	"683822"
"100116"	"713159"
"100116"	"713163"
"100116"	"713225"
"100116"	"713240"
"100116"	"713270"
"100116"	"741909"
"100116"	"754273"
"100116"	"754522"
"100116"	"777521"
"100116"	"959822"
"100116"	"960556"
"1004630"	"1419930"
"1004630"	"1494039"
"1004630"	"1505267"
"1004630"	"1606474"
"1004630"	"1606574"
"1004630"	"1606596"
"1004630"	"1606597"
"1004630"	"1606610"
"1004630"	"1606615"
"1004630"	"1675399"
"1004630"	"1760326"
"1004630"	"1760350"
"1004630"	"1760353"
"1004630"	"1760361"
"1004630"	"1760378"
"1004630"	"1760388"
"1004630"	"1760399"
"1004630"	"1760406"
"1004630"	"1760427"
"1004630"	"1760642"
"1004630"	"1774380"
"1004630"	"1774446"
"1004630"	"1774449"
"1004630"	"1774462"
"1004630"	"1774463"
"1004630"	"1774475"
"1004630"	"1774504"
"1004630"	"1774516"
"1004630"	"1774539"
"1004630"	"1774584"
"1004630"	"1774587"
"1004630"	"1774635"
"1004630"	"1774641"
"1004630"	"1774659"
"1004630"	"1774686"
"1004630"	"1774692"
"1004630"	"1774706"
"1004630"	"1774713"
"1004630"	"1774717"
"1004630"	"1774723"
"1004630"	"1774745"
"1004630"	"1774786"
"1004630"	"1774797"
"1004630"	"1774849"
"1004630"	"1774862"
"1004630"	"1774934"
"1004630"	"1774963"
"1004630"	"1775001"
"1004630"	"1775011"
"1004630"	"1775020"
"1004630"	"1775024"
"1004630"	"1775076"
"1004630"	"1775098"
"1004630"	"1837210"
"1004630"	"1902321"
"1004630"	"1928655"
"1004630"	"1928678"
"1004630"	"2105349"
"1004630"	"2105482"
"1004630"	"2105533"
"1004630"	"2105786"
"1004630"	"2188303"
"1004630"	"2276801"
"1004630"	"2335873"
"1004630"	"2339484"
"1004630"	"2383396"
"1004630"	"2388663"
"1004630"	"287062"
"1004630"	"329662"
"1004630"	"389281"
"1004630"	"424477"
"1004630"	"447378"
"1004630"	"461710"
"1004630"	"462104"
"1004630"	"470687"
"1004630"	"594200"
"1004630"	"624647"
"1004630"	"662203"
"1004630"	"682877"
"1004630"	"694649"
"1004630"	"696993"
"1004630"	"713240"
"1004630"	"713248"
"1004630"	"713276"
"1004630"	"713290"
"1004630"	"713304"
"1004630"	"725370"
"1004630"	"725379"
"1004630"	"725380"
"1004630"	"727272"
"1004630"	"731434"
"1004630"	"732342"
"1004630"	"753482"
"1004630"	"754270"
"1004630"	"818987"
"100737"	"1008033"
"100737"	"1444067"
"100737"	"1444070"
"100737"	"1760363"
"100737"	"1760642"
"100737"	"1774717"
"100737"	"1913268"
"100737"	"2105511"
"100737"	"2105598"
"100737"	"655717"
"100737"	"679715"
"100737"	"713250"
"100737"	"730313"
"100737"	"731389"
"1007387"	"1047585"
"1007387"	"1060230"
"1007387"	"108058"
"1007387"	"1087325"
"1007387"	"1314490"
"1007387"	"1318298"
"1007387"	"1419930"
"1007387"	"1601670"
"1007387"	"1606606"
"1007387"	"1637522"
"1007387"	"1704256"
"1007387"	"1709561"
"1007387"	"1722628"
"1007387"	"172508"
"1007387"	"1760353"
"1007387"	"1760362"
"1007387"	"1760371"
"1007387"	"1760376"
"1007387"	"1760378"
"1007387"	"1774489"
"1007387"	"1774492"
"1007387"	"1774494"
"1007387"	"1774503"
"1007387"	"1774507"
"1007387"	"1774535"
"1007387"	"1774595"
"1007387"	"1774601"
"1007387"	"1774615"
"1007387"	"1774677"
"1007387"	"1774684"
"1007387"	"1774686"
"1007387"	"1774779"
"1007387"	"1774800"
"1007387"	"1774862"
"1007387"	"1774888"
"1007387"	"1774950"
"1007387"	"1775009"
"1007387"	"1775011"
"1007387"	"1775026"
"1007387"	"1775042"
"1007387"	"1775058"
"1007387"	"1874277"
"1007387"	"1902321"
"1007387"	"2018059"
"1007387"	"2083428"
"1007387"	"2105514"
"1007387"	"2105532"
"1007387"	"2105598"
"1007387"	"2188303"
"1007387"	"2229857"
"1007387"	"2335873"
"1007387"	"2343065"
"1007387"	"2350630"
"1007387"	"286102"
"1007387"	"290927"
"1007387"	"394396"
"1007387"	"436442"
"1007387"	"458026"
"1007387"	"504783"
"1007387"	"513098"
"1007387"	"526312"
"1007387"	"573423"
"1007387"	"592273"
"1007387"	"627961"
"1007387"	"633220"
"1007387"	"640892"
"1007387"	"640917"
"1007387"	"647507"
"1007387"	"696993"
"1007387"	"713192"
"1007387"	"713240"
"1007387"	"713276"
"1007387"	"713277"
"1007387"	"725889"
"1007387"	"737654"
"1007387"	"754270"
"1007387"	"769385"
"1007387"	"778749"
"1007387"	"919804"
"1007387"	"966672"
"1007387"	"987322"
"1007387"	"987554"
"1014391"	"1194143"
"1014391"	"1547956"
"1014391"	"158007"
"1014391"	"1606596"
"1014391"	"1760350"
"1014391"	"1760353"
"1014391"	"1760355"
"1014391"	"1774489"
"1014391"	"1774509"
"1014391"	"1774520"
"1014391"	"1774705"
"1014391"	"1774713"
"1014391"	"1774753"
"1014391"	"1774817"
"1014391"	"1774878"
"1014391"	"1774952"
"1014391"	"2335877"
"1015301"	"1419930"
"1015301"	"1444067"
"1015301"	"1760388"
"1015301"	"1774520"
"1015301"	"1774550"
"1015301"	"1774925"
"1015301"	"1774963"
"1015301"	"1775025"
"1015301"	"458026"
"1015301"	"754522"
"1015301"	"778749"
"1016219"	"1036991"
"1016219"	"1108697"
"1016219"	"1164429"
"1016219"	"1235427"
"1016219"	"1334793"
"1016219"	"1349990"
"1016219"	"1394821"
"1016219"	"1444067"
"1016219"	"1606574"
"1016219"	"1606575"
"1016219"	"1606596"
"1016219"	"1606609"
"1016219"	"1638658"
"1016219"	"1675399"
"1016219"	"167879"
"1016219"	"172508"
"1016219"	"1760301"
"1016219"	"1760304"
"1016219"	"1760338"
"1016219"	"1760350"
"1016219"	"1760353"
"1016219"	"1760355"
"1016219"	"1760377"
"1016219"	"1760378"
"1016219"	"1760388"
"1016219"	"1760455"
"1016219"	"1760642"
"1016219"	"1774452"
"1016219"	"1774489"
"1016219"	"1774504"
"1016219"	"1774505"
"1016219"	"1774509"
"1016219"	"1774516"
"1016219"	"1774520"
"1016219"	"1774536"
"1016219"	"1774548"
"1016219"	"1774568"
"1016219"	"1774570"
"1016219"	"1774595"
"1016219"	"1774684"
"1016219"	"1774692"
"1016219"	"1774705"
"1016219"	"1774706"
"1016219"	"1774710"
"1016219"	"1774713"
"1016219"	"1774717"
"1016219"	"1774722"
"1016219"	"1774753"
"1016219"	"1774766"
"1016219"	"1774817"
"1016219"	"1774848"
"1016219"	"1774849"
"1016219"	"1774862"
"1016219"	"1774878"
"1016219"	"1774925"
"1016219"	"1774952"
"1016219"	"1774996"
"1016219"	"1774999"
"1016219"	"1775001"
"1016219"	"1775013"
"1016219"	"1775024"
"1016219"	"1775025"
"1016219"	"1775044"
"1016219"	"1775054"
"1016219"	"1775076"
"1016219"	"1837210"
"1016219"	"1902321"
